gene,species,genus,family,order,class,phylum,kingdom
YP_081539.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081539.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081539.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081539.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081539.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081540.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081540.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081541.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081541.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081541.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081542.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081542.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081543.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081543.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081543.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081543.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081543.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081543.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081544.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081544.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081545.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081545.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081545.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081546.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081546.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081547.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081547.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081548.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081548.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081549.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081550.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081550.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081551.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081551.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081552.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081552.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081552.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081553.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081553.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081554.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081554.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081554.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081554.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081554.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081554.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081555.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081555.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081555.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081556.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081556.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081557.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081557.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081558.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081558.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081559.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081559.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081560.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081560.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081561.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081561.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081562.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081562.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081563.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081563.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081565.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081565.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081566.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081566.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081566.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081567.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081567.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081568.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081568.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081569.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081569.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081569.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081570.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081570.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081571.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081571.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081572.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081572.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081573.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081573.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081573.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081574.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081574.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081575.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081575.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081576.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081576.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081577.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081577.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081578.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081578.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081578.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081579.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081579.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081580.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081580.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081581.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081581.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081582.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081582.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081583.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081583.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081583.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081584.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081584.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081584.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081584.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081584.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081584.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081585.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081585.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081586.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081586.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081587.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081587.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081588.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081588.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081589.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081589.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081589.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081590.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081590.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081591.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081591.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081592.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081592.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081592.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081593.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081593.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081594.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081594.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081594.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081594.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081595.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081595.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081595.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081595.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081596.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081596.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081597.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081597.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081597.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081598.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081598.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081598.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081598.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081598.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081598.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081599.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081599.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081600.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081600.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081601.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081601.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081602.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081602.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081602.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081602.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081603.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081604.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081604.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081605.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081605.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081605.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081605.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081606.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081606.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081606.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081607.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081607.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081608.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081608.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081609.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081609.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081609.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081609.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081610.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081610.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081611.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081611.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081612.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081612.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081613.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081613.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081614.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081614.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081615.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081616.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081616.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081616.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
